date,ticker,name,open,high,low,close,volume,amount
2026-07-13,267260,HD현대일렉트릭,851000,855000,779000,788000,172717,138664000000.0
2026-07-13,035720,카카오,35400,36100,34450,34750,1671408,58778000000.0
2026-07-13,010120,LS ELECTRIC,207500,209500,179900,184500,1015219,193832000000.0
2026-07-13,267250,HD현대,204500,209000,195000,198000,126643,25304000000.0
2026-07-13,006400,삼성SDI,443000,481500,432000,440000,849490,388339000000.0
2026-07-13,079550,LIG디펜스앤에어로스페이스,764000,804000,712000,725000,152324,114282000000.0
2026-07-13,068270,셀트리온,175300,180800,173900,175100,646548,114583000000.0
2026-07-13,024110,기업은행,21350,21750,20900,21150,1309264,27842000000.0
2026-07-13,012330,현대모비스,488000,522000,480500,487500,351524,174502000000.0
2026-07-13,096770,SK이노베이션,104600,117400,104100,110200,1515044,168744000000.0
2026-07-13,055550,신한지주,110800,113300,107500,108600,1376745,151834000000.0
2026-07-13,011200,HMM,19710,20500,19400,19550,1869104,37081000000.0
2026-07-13,012450,한화에어로스페이스,991000,1008000,926000,936000,140138,133851000000.0
2026-07-13,033780,KT&G,174700,180700,173100,174300,266647,46911000000.0
2026-07-13,000270,기아,148000,151100,142300,143500,896507,131110000000.0
2026-07-13,138040,메리츠금융지주,116200,119000,115400,117000,335405,39327000000.0
2026-07-13,034020,두산에너빌리티,78600,79700,72300,73200,2881964,217200000000.0
2026-07-13,064350,현대로템,179100,183500,167500,170000,413204,71238000000.0
2026-07-13,105560,KB금융,186300,194500,184100,186200,2401881,452235000000.0
2026-07-13,017670,SK텔레콤,88700,89000,84100,85700,631228,54444000000.0
2026-07-13,034730,SK,656000,656000,581000,583000,236349,142193000000.0
2026-07-13,010140,삼성중공업,22600,23900,21850,22050,4077846,92387000000.0
2026-07-13,329180,HD현대중공업,508000,518000,484500,487500,278839,137590000000.0
2026-07-13,316140,우리금융지주,31550,32900,30950,31200,2413796,76699000000.0
2026-07-13,207940,삼성바이오로직스,1400000,1445000,1383000,1400000,45494,64222000000.0
