date,ticker,name,open,high,low,close,volume,amount
2026-07-14,439870,KODEX 국고채30년액티브,88185,88700,87990,88245,6810,601454150.0
2026-07-20,114820,TIGER 국채3년,104445,104515,104385,104485,17057,1782166628.0
2026-07-20,114100,RISE 국고채3년,105900,106025,105900,105980,17109,1813635295.0
2026-07-20,114260,KODEX 국고채3년,61415,61465,61365,61415,21517,1321712995.0
2026-07-20,471230,KODEX 국고채10년액티브,103175,103390,103135,103265,10930,1128335801.0
2026-07-20,439870,KODEX 국고채30년액티브,87800,88205,87730,87825,5281,464029007.0
