date,ticker,name,open,high,low,close,volume,amount
2026-07-13,M04020000,국내 금,198000,198000,195480,195510,247653,"48,577백만"
2026-07-14,M04020000,국내 금,193200,193240,191300,192980,300763,"57,669백만"
